#data for Fig. 3(a)
#rms dynamics for effective model. See SM for more details.

#Parameters: J_perp = 20t, J_parallel = 0.

#tau: evolution time

#Delta_rms: root-mean-square of Delta = (x1 - x2)/2
#Delta_std: standard error on Delta_rms estimated from sampling 

#X_rms: root-mean-square of X = (x1 + x2)/2
#norm: norm of wave function (should be 1 always)

tau 	  X_rms	 	 norm

0.0000000 0.0000000 1.0000000
0.0250000 0.0249837 1.0000000
0.0500000 0.0498702 1.0000000
0.0750000 0.0745635 1.0000000
0.1000000 0.0989708 1.0000000
0.1250000 0.1230031 1.0000000
0.1500000 0.1465772 1.0000000
0.1750000 0.1696157 1.0000000
0.2000000 0.1920486 1.0000000
0.2250000 0.2138134 1.0000000
0.2500000 0.2348554 1.0000000
0.2750000 0.2551277 1.0000000
0.3000000 0.2745913 1.0000000
0.3250000 0.2932141 1.0000000
0.3500000 0.3109709 1.0000000
0.3750000 0.3278425 1.0000000
0.4000000 0.3438147 1.0000000
0.4250000 0.3588778 1.0000000
0.4500000 0.3730260 1.0000000
0.4750000 0.3862565 1.0000000
0.5000000 0.3985695 1.0000000
0.5250000 0.4099677 1.0000000
0.5500000 0.4204566 1.0000000
0.5750000 0.4300448 1.0000000
0.6000000 0.4387445 1.0000000
0.6250000 0.4465726 1.0000000
0.6500000 0.4535516 1.0000000
0.6750000 0.4597107 1.0000000
0.7000000 0.4650874 1.0000000
0.7250000 0.4697283 1.0000000
0.7500000 0.4736908 1.0000000
0.7750000 0.4770437 1.0000000
0.8000000 0.4798678 1.0000000
0.8250000 0.4822563 1.0000000
0.8500000 0.4843145 1.0000000
0.8750000 0.4861588 1.0000000
0.9000000 0.4879151 1.0000000
0.9250000 0.4897166 1.0000000
0.9500000 0.4917008 1.0000000
0.9750000 0.4940057 1.0000000
1.0000000 0.4967660 1.0000000
1.0250000 0.5001084 1.0000000
1.0500000 0.5041477 1.0000000
1.0750000 0.5089822 1.0000000
1.1000000 0.5146906 1.0000000
1.1250000 0.5213296 1.0000000
1.1500000 0.5289325 1.0000000
1.1750000 0.5375088 1.0000000
1.2000000 0.5470455 1.0000000
1.2250000 0.5575090 1.0000000
1.2500000 0.5688477 1.0000000
1.2750000 0.5809954 1.0000000
1.3000000 0.5938746 1.0000000
1.3250000 0.6073999 1.0000000
1.3500000 0.6214808 1.0000000
1.3750000 0.6360248 1.0000000
1.4000000 0.6509390 1.0000000
1.4250000 0.6661322 1.0000000
1.4500000 0.6815159 1.0000000
1.4750000 0.6970052 1.0000000
1.5000000 0.7125192 1.0000000
1.5250000 0.7279814 1.0000000
1.5500000 0.7433196 1.0000000
1.5750000 0.7584664 1.0000000
1.6000000 0.7733589 1.0000000
1.6250000 0.7879387 1.0000000
1.6500000 0.8021527 1.0000000
1.6750000 0.8159528 1.0000000
1.7000000 0.8292966 1.0000000
1.7250000 0.8421480 1.0000000
1.7500000 0.8544775 1.0000000
1.7750000 0.8662631 1.0000000
1.8000000 0.8774906 1.0000000
1.8250000 0.8881542 1.0000000
1.8500000 0.8982571 1.0000000
1.8750000 0.9078115 1.0000000
1.9000000 0.9168389 1.0000000
1.9250000 0.9253698 1.0000000
1.9500000 0.9334431 1.0000000
1.9750000 0.9411060 1.0000000
2.0000000 0.9484126 1.0000000
2.0250000 0.9554232 1.0000000
2.0500000 0.9622024 1.0000000
2.0750000 0.9688182 1.0000000
2.1000000 0.9753401 1.0000000
2.1250000 0.9818376 1.0000000
2.1500000 0.9883785 1.0000000
2.1750000 0.9950274 1.0000000
2.2000000 1.0018443 1.0000000
2.2250000 1.0088834 1.0000000
2.2500000 1.0161923 1.0000000
2.2750000 1.0238110 1.0000000
2.3000000 1.0317716 1.0000000
2.3250000 1.0400984 1.0000000
2.3500000 1.0488074 1.0000000
2.3750000 1.0579070 1.0000000
2.4000000 1.0673982 1.0000000
2.4250000 1.0772752 1.0000000
2.4500000 1.0875261 1.0000000
2.4750000 1.0981333 1.0000000
2.5000000 1.1090742 1.0000000
2.5250000 1.1203220 1.0000000
2.5500000 1.1318460 1.0000000
2.5750000 1.1436123 1.0000000
2.6000000 1.1555840 1.0000000
2.6250000 1.1677220 1.0000000
2.6500000 1.1799855 1.0000000
2.6750000 1.1923320 1.0000000
2.7000000 1.2047183 1.0000000
2.7250000 1.2171007 1.0000000
2.7500000 1.2294360 1.0000000
2.7750000 1.2416816 1.0000000
2.8000000 1.2537966 1.0000000
2.8250000 1.2657426 1.0000000
2.8500000 1.2774837 1.0000000
2.8750000 1.2889883 1.0000000
2.9000000 1.3002287 1.0000000
2.9250000 1.3111824 1.0000000
2.9500000 1.3218321 1.0000000
2.9750000 1.3321664 1.0000000
3.0000000 1.3421799 1.0000000
3.0250000 1.3518732 1.0000000
3.0500000 1.3612526 1.0000000
3.0750000 1.3703303 1.0000000
3.1000000 1.3791235 1.0000000
3.1250000 1.3876542 1.0000000
3.1500000 1.3959481 1.0000000
3.1750000 1.4040345 1.0000000
3.2000000 1.4119446 1.0000000
3.2250000 1.4197116 1.0000000
3.2500000 1.4273690 1.0000000
3.2750000 1.4349507 1.0000000
3.3000000 1.4424894 1.0000000
3.3250000 1.4500167 1.0000000
3.3500000 1.4575622 1.0000000
3.3750000 1.4651530 1.0000000
3.4000000 1.4728139 1.0000000
3.4250000 1.4805665 1.0000000
3.4500000 1.4884298 1.0000000
3.4750000 1.4964194 1.0000000
3.5000000 1.5045482 1.0000000
3.5250000 1.5128260 1.0000000
3.5500000 1.5212598 1.0000000
3.5750000 1.5298538 1.0000000
3.6000000 1.5386095 1.0000000
3.6250000 1.5475255 1.0000000
3.6500000 1.5565982 1.0000000
3.6750000 1.5658211 1.0000000
3.7000000 1.5751854 1.0000000
3.7250000 1.5846798 1.0000000
3.7500000 1.5942909 1.0000000
3.7750000 1.6040029 1.0000000
3.8000000 1.6137983 1.0000000
3.8250000 1.6236579 1.0000000
3.8500000 1.6335610 1.0000000
3.8750000 1.6434860 1.0000000
3.9000000 1.6534109 1.0000000
3.9250000 1.6633133 1.0000000
3.9500000 1.6731716 1.0000000
3.9750000 1.6829648 1.0000000
4.0000000 1.6926733 1.0000000
4.0250000 1.7022795 1.0000000
4.0500000 1.7117678 1.0000000
4.0750000 1.7211253 1.0000000
4.1000000 1.7303416 1.0000000
4.1250000 1.7394094 1.0000000
4.1500000 1.7483244 1.0000000
4.1750000 1.7570851 1.0000000
4.2000000 1.7656927 1.0000000
4.2250000 1.7741510 1.0000000
4.2500000 1.7824661 1.0000000
4.2750000 1.7906460 1.0000000
4.3000000 1.7987003 1.0000000
4.3250000 1.8066398 1.0000000
4.3500000 1.8144761 1.0000000
4.3750000 1.8222215 1.0000000
4.4000000 1.8298882 1.0000000
4.4250000 1.8374885 1.0000000
4.4500000 1.8450344 1.0000000
4.4750000 1.8525376 1.0000000
4.5000000 1.8600088 1.0000000
4.5250000 1.8674585 1.0000000
4.5500000 1.8748963 1.0000000
4.5750000 1.8823310 1.0000000
4.6000000 1.8897707 1.0000000
4.6250000 1.8972229 1.0000000
4.6500000 1.9046943 1.0000000
4.6750000 1.9121906 1.0000000
4.7000000 1.9197170 1.0000000
4.7250000 1.9272777 1.0000000
4.7500000 1.9348760 1.0000000
4.7750000 1.9425143 1.0000000
4.8000000 1.9501939 1.0000000
4.8250000 1.9579151 1.0000000
4.8500000 1.9656771 1.0000000
4.8750000 1.9734779 1.0000000
4.9000000 1.9813146 1.0000000
4.9250000 1.9891831 1.0000000
4.9500000 1.9970785 1.0000000
4.9750000 2.0049949 1.0000000
5.0000000 2.0129260 1.0000000
5.0250000 2.0208649 1.0000000
5.0500000 2.0288045 1.0000000
5.0750000 2.0367377 1.0000000
5.1000000 2.0446576 1.0000000
5.1250000 2.0525576 1.0000000
5.1500000 2.0604317 1.0000000
5.1750000 2.0682746 1.0000000
5.2000000 2.0760818 1.0000000
5.2250000 2.0838495 1.0000000
5.2500000 2.0915750 1.0000000
5.2750000 2.0992563 1.0000000
5.3000000 2.1068921 1.0000000
5.3250000 2.1144817 1.0000000
5.3500000 2.1220250 1.0000000
5.3750000 2.1295223 1.0000000
5.4000000 2.1369741 1.0000000
5.4250000 2.1443810 1.0000000
5.4500000 2.1517434 1.0000000
5.4750000 2.1590618 1.0000000
5.5000000 2.1663365 1.0000000
5.5250000 2.1735674 1.0000000
5.5500000 2.1807542 1.0000000
5.5750000 2.1878967 1.0000000
5.6000000 2.1949940 1.0000000
5.6250000 2.2020455 1.0000000
5.6500000 2.2090506 1.0000000
5.6750000 2.2160086 1.0000000
5.7000000 2.2229190 1.0000000
5.7250000 2.2297817 1.0000000
5.7500000 2.2365968 1.0000000
5.7750000 2.2433649 1.0000000
5.8000000 2.2500869 1.0000000
5.8250000 2.2567643 1.0000000
5.8500000 2.2633988 1.0000000
5.8750000 2.2699927 1.0000000
5.9000000 2.2765486 1.0000000
5.9250000 2.2830693 1.0000000
5.9500000 2.2895581 1.0000000
5.9750000 2.2960183 1.0000000
6.0000000 2.3024535 1.0000000
6.0250000 2.3088674 1.0000000
6.0500000 2.3152636 1.0000000
6.0750000 2.3216460 1.0000000
6.1000000 2.3280183 1.0000000
6.1250000 2.3343845 1.0000000
6.1500000 2.3407482 1.0000000
6.1750000 2.3471133 1.0000000
6.2000000 2.3534833 1.0000000
6.2250000 2.3598618 1.0000000
6.2500000 2.3662522 1.0000000
6.2750000 2.3726576 1.0000000
6.3000000 2.3790808 1.0000000
6.3250000 2.3855244 1.0000000
6.3500000 2.3919902 1.0000000
6.3750000 2.3984796 1.0000000
6.4000000 2.4049932 1.0000000
6.4250000 2.4115309 1.0000000
6.4500000 2.4180917 1.0000000
6.4750000 2.4246736 1.0000000
6.5000000 2.4312737 1.0000000
6.5250000 2.4378879 1.0000000
6.5500000 2.4445114 1.0000000
6.5750000 2.4511384 1.0000000
6.6000000 2.4577621 1.0000000
6.6250000 2.4643752 1.0000000
6.6500000 2.4709698 1.0000000
6.6750000 2.4775377 1.0000000
6.7000000 2.4840704 1.0000000
6.7250000 2.4905595 1.0000000
6.7500000 2.4969970 1.0000000
6.7750000 2.5033753 1.0000000
6.8000000 2.5096872 1.0000000
6.8250000 2.5159269 1.0000000
6.8500000 2.5220892 1.0000000
6.8750000 2.5281702 1.0000000
6.9000000 2.5341672 1.0000000
6.9250000 2.5400788 1.0000000
6.9500000 2.5459051 1.0000000
6.9750000 2.5516475 1.0000000
7.0000000 2.5573085 1.0000000
7.0250000 2.5628922 1.0000000
7.0500000 2.5684037 1.0000000
7.0750000 2.5738492 1.0000000
7.1000000 2.5792359 1.0000000
7.1250000 2.5845718 1.0000000
7.1500000 2.5898657 1.0000000
7.1750000 2.5951268 1.0000000
7.2000000 2.6003648 1.0000000
7.2250000 2.6055895 1.0000000
7.2500000 2.6108107 1.0000000
7.2750000 2.6160381 1.0000000
7.3000000 2.6212811 1.0000000
7.3250000 2.6265485 1.0000000
7.3500000 2.6318484 1.0000000
7.3750000 2.6371882 1.0000000
7.4000000 2.6425741 1.0000000
7.4250000 2.6480110 1.0000000
7.4500000 2.6535028 1.0000000
7.4750000 2.6590518 1.0000000
7.5000000 2.6646587 1.0000000
7.5250000 2.6703228 1.0000000
7.5500000 2.6760417 1.0000000
7.5750000 2.6818114 1.0000000
7.6000000 2.6876266 1.0000000
7.6250000 2.6934802 1.0000000
7.6500000 2.6993641 1.0000000
7.6750000 2.7052689 1.0000000
7.7000000 2.7111845 1.0000000
7.7250000 2.7171000 1.0000000
