#data for Fig. 3(a)
#rms dynamics for effective model. See SM for more details.

#Parameters: J_perp = 500t, J_parallel = 0.

#tau: evolution time

#Delta_rms: root-mean-square of Delta = (x1 - x2)/2
#Delta_std: standard error on Delta_rms estimated from sampling 

#X_rms: root-mean-square of X = (x1 + x2)/2
#norm: norm of wave function (should be 1 always)

tau 	  X_rms	 	 norm

0.0000000 0.0000000 1.0000000
0.0250000 0.0160032 1.0000000
0.0500000 0.0011608 1.0000000
0.0750000 0.0160787 1.0000000
0.1000000 0.0023216 1.0000000
0.1250000 0.0162285 1.0000000
0.1500000 0.0034823 1.0000000
0.1750000 0.0164508 1.0000000
0.2000000 0.0046430 1.0000000
0.2250000 0.0167425 1.0000000
0.2500000 0.0058037 1.0000000
0.2750000 0.0171002 1.0000000
0.3000000 0.0069642 1.0000000
0.3250000 0.0175199 1.0000000
0.3500000 0.0081247 1.0000000
0.3750000 0.0179971 1.0000000
0.4000000 0.0092850 1.0000000
0.4250000 0.0185276 1.0000000
0.4500000 0.0104452 1.0000000
0.4750000 0.0191070 1.0000000
0.5000000 0.0116053 1.0000000
0.5250000 0.0197308 1.0000000
0.5500000 0.0127652 1.0000000
0.5750000 0.0203952 1.0000000
0.6000000 0.0139250 1.0000000
0.6250000 0.0210962 1.0000000
0.6500000 0.0150845 1.0000000
0.6750000 0.0218305 1.0000000
0.7000000 0.0162438 1.0000000
0.7250000 0.0225947 1.0000000
0.7500000 0.0174030 1.0000000
0.7750000 0.0233861 1.0000000
0.8000000 0.0185618 1.0000000
0.8250000 0.0242020 1.0000000
0.8500000 0.0197205 1.0000000
0.8750000 0.0250400 1.0000000
0.9000000 0.0208788 1.0000000
0.9250000 0.0258980 1.0000000
0.9500000 0.0220369 1.0000000
0.9750000 0.0267742 1.0000000
1.0000000 0.0231947 1.0000000
1.0250000 0.0276669 1.0000000
1.0500000 0.0243521 1.0000000
1.0750000 0.0285745 1.0000000
1.1000000 0.0255093 1.0000000
1.1250000 0.0294959 1.0000000
1.1500000 0.0266661 1.0000000
1.1750000 0.0304296 1.0000000
1.2000000 0.0278226 1.0000000
1.2250000 0.0313748 1.0000000
1.2500000 0.0289786 1.0000000
1.2750000 0.0323303 1.0000000
1.3000000 0.0301344 1.0000000
1.3250000 0.0332955 1.0000000
1.3500000 0.0312897 1.0000000
1.3750000 0.0342695 1.0000000
1.4000000 0.0324446 1.0000000
1.4250000 0.0352517 1.0000000
1.4500000 0.0335991 1.0000000
1.4750000 0.0362413 1.0000000
1.5000000 0.0347532 1.0000000
1.5250000 0.0372380 1.0000000
1.5500000 0.0359068 1.0000000
1.5750000 0.0382411 1.0000000
1.6000000 0.0370600 1.0000000
1.6250000 0.0392503 1.0000000
1.6500000 0.0382127 1.0000000
1.6750000 0.0402651 1.0000000
1.7000000 0.0393650 1.0000000
1.7250000 0.0412851 1.0000000
1.7500000 0.0405168 1.0000000
1.7750000 0.0423100 1.0000000
1.8000000 0.0416680 1.0000000
1.8250000 0.0433396 1.0000000
1.8500000 0.0428188 1.0000000
1.8750000 0.0443735 1.0000000
1.9000000 0.0439691 1.0000000
1.9250000 0.0454115 1.0000000
1.9500000 0.0451188 1.0000000
1.9750000 0.0464534 1.0000000
2.0000000 0.0462680 1.0000000
2.0250000 0.0474989 1.0000000
2.0500000 0.0474167 1.0000000
2.0750000 0.0485479 1.0000000
2.1000000 0.0485649 1.0000000
2.1250000 0.0496002 1.0000000
2.1500000 0.0497124 1.0000000
2.1750000 0.0506555 1.0000000
2.2000000 0.0508594 1.0000000
2.2250000 0.0517139 1.0000000
2.2500000 0.0520059 1.0000000
2.2750000 0.0527751 1.0000000
2.3000000 0.0531518 1.0000000
2.3250000 0.0538390 1.0000000
2.3500000 0.0542970 1.0000000
2.3750000 0.0549054 1.0000000
2.4000000 0.0554418 1.0000000
2.4250000 0.0559744 1.0000000
2.4500000 0.0565859 1.0000000
2.4750000 0.0570457 1.0000000
2.5000000 0.0577294 1.0000000
2.5250000 0.0581193 1.0000000
2.5500000 0.0588723 1.0000000
2.5750000 0.0591951 1.0000000
2.6000000 0.0600146 1.0000000
2.6250000 0.0602731 1.0000000
2.6500000 0.0611563 1.0000000
2.6750000 0.0613530 1.0000000
2.7000000 0.0622974 1.0000000
2.7250000 0.0624349 1.0000000
2.7500000 0.0634378 1.0000000
2.7750000 0.0635188 1.0000000
2.8000000 0.0645777 1.0000000
2.8250000 0.0646044 1.0000000
2.8500000 0.0657169 1.0000000
2.8750000 0.0656918 1.0000000
2.9000000 0.0668555 1.0000000
2.9250000 0.0667810 1.0000000
2.9500000 0.0679935 1.0000000
2.9750000 0.0678718 1.0000000
3.0000000 0.0691308 1.0000000
3.0250000 0.0689643 1.0000000
3.0500000 0.0702675 1.0000000
3.0750000 0.0700583 1.0000000
3.1000000 0.0714036 1.0000000
3.1250000 0.0711538 1.0000000
3.1500000 0.0725391 1.0000000
3.1750000 0.0722508 1.0000000
3.2000000 0.0736739 1.0000000
3.2250000 0.0733492 1.0000000
3.2500000 0.0748082 1.0000000
3.2750000 0.0744491 1.0000000
3.3000000 0.0759418 1.0000000
3.3250000 0.0755503 1.0000000
3.3500000 0.0770747 1.0000000
3.3750000 0.0766529 1.0000000
3.4000000 0.0782071 1.0000000
3.4250000 0.0777567 1.0000000
3.4500000 0.0793388 1.0000000
3.4750000 0.0788618 1.0000000
3.5000000 0.0804699 1.0000000
3.5250000 0.0799681 1.0000000
3.5500000 0.0816004 1.0000000
3.5750000 0.0810756 1.0000000
3.6000000 0.0827303 1.0000000
3.6250000 0.0821843 1.0000000
3.6500000 0.0838596 1.0000000
3.6750000 0.0832942 1.0000000
3.7000000 0.0849883 1.0000000
3.7250000 0.0844051 1.0000000
3.7500000 0.0861164 1.0000000
3.7750000 0.0855171 1.0000000
3.8000000 0.0872440 1.0000000
3.8250000 0.0866302 1.0000000
3.8500000 0.0883709 1.0000000
3.8750000 0.0877443 1.0000000
3.9000000 0.0894972 1.0000000
3.9250000 0.0888594 1.0000000
3.9500000 0.0906230 1.0000000
3.9750000 0.0899755 1.0000000
4.0000000 0.0917482 1.0000000
4.0250000 0.0910926 1.0000000
4.0500000 0.0928729 1.0000000
4.0750000 0.0922106 1.0000000
4.1000000 0.0939970 1.0000000
4.1250000 0.0933295 1.0000000
4.1500000 0.0951206 1.0000000
4.1750000 0.0944492 1.0000000
4.2000000 0.0962436 1.0000000
4.2250000 0.0955699 1.0000000
4.2500000 0.0973661 1.0000000
4.2750000 0.0966913 1.0000000
4.3000000 0.0984881 1.0000000
4.3250000 0.0978136 1.0000000
4.3500000 0.0996096 1.0000000
4.3750000 0.0989367 1.0000000
4.4000000 0.1007305 1.0000000
4.4250000 0.1000606 1.0000000
4.4500000 0.1018510 1.0000000
4.4750000 0.1011852 1.0000000
4.5000000 0.1029710 1.0000000
4.5250000 0.1023105 1.0000000
4.5500000 0.1040905 1.0000000
4.5750000 0.1034366 1.0000000
4.6000000 0.1052096 1.0000000
4.6250000 0.1045633 1.0000000
4.6500000 0.1063282 1.0000000
4.6750000 0.1056907 1.0000000
4.7000000 0.1074464 1.0000000
4.7250000 0.1068187 1.0000000
4.7500000 0.1085641 1.0000000
4.7750000 0.1079474 1.0000000
4.8000000 0.1096814 1.0000000
4.8250000 0.1090767 1.0000000
4.8500000 0.1107983 1.0000000
4.8750000 0.1102066 1.0000000
4.9000000 0.1119148 1.0000000
4.9250000 0.1113370 1.0000000
4.9500000 0.1130310 1.0000000
4.9750000 0.1124680 1.0000000
5.0000000 0.1141467 1.0000000
5.0250000 0.1135995 1.0000000
5.0500000 0.1152621 1.0000000
5.0750000 0.1147315 1.0000000
5.1000000 0.1163771 1.0000000
5.1250000 0.1158640 1.0000000
5.1500000 0.1174918 1.0000000
5.1750000 0.1169969 1.0000000
5.2000000 0.1186062 1.0000000
5.2250000 0.1181303 1.0000000
5.2500000 0.1197203 1.0000000
5.2750000 0.1192642 1.0000000
5.3000000 0.1208340 1.0000000
5.3250000 0.1203984 1.0000000
5.3500000 0.1219475 1.0000000
5.3750000 0.1215331 1.0000000
5.4000000 0.1230607 1.0000000
5.4250000 0.1226681 1.0000000
5.4500000 0.1241736 1.0000000
5.4750000 0.1238035 1.0000000
5.5000000 0.1252863 1.0000000
5.5250000 0.1249392 1.0000000
5.5500000 0.1263987 1.0000000
5.5750000 0.1260752 1.0000000
5.6000000 0.1275109 1.0000000
5.6250000 0.1272115 1.0000000
5.6500000 0.1286229 1.0000000
5.6750000 0.1283481 1.0000000
5.7000000 0.1297347 1.0000000
5.7250000 0.1294850 1.0000000
5.7500000 0.1308463 1.0000000
5.7750000 0.1306221 1.0000000
5.8000000 0.1319578 1.0000000
5.8250000 0.1317594 1.0000000
5.8500000 0.1330691 1.0000000
5.8750000 0.1328969 1.0000000
5.9000000 0.1341802 1.0000000
5.9250000 0.1340347 1.0000000
5.9500000 0.1352912 1.0000000
5.9750000 0.1351726 1.0000000
6.0000000 0.1364021 1.0000000
6.0250000 0.1363106 1.0000000
6.0500000 0.1375129 1.0000000
6.0750000 0.1374488 1.0000000
6.1000000 0.1386236 1.0000000
6.1250000 0.1385871 1.0000000
6.1500000 0.1397342 1.0000000
6.1750000 0.1397256 1.0000000
6.2000000 0.1408447 1.0000000
6.2250000 0.1408641 1.0000000
6.2500000 0.1419552 1.0000000
6.2750000 0.1420027 1.0000000
6.3000000 0.1430656 1.0000000
6.3250000 0.1431414 1.0000000
6.3500000 0.1441761 1.0000000
6.3750000 0.1442801 1.0000000
6.4000000 0.1452864 1.0000000
6.4250000 0.1454188 1.0000000
6.4500000 0.1463968 1.0000000
6.4750000 0.1465575 1.0000000
6.5000000 0.1475072 1.0000000
6.5250000 0.1476963 1.0000000
6.5500000 0.1486176 1.0000000
6.5750000 0.1488350 1.0000000
6.6000000 0.1497280 1.0000000
6.6250000 0.1499737 1.0000000
6.6500000 0.1508385 1.0000000
6.6750000 0.1511123 1.0000000
6.7000000 0.1519490 1.0000000
6.7250000 0.1522509 1.0000000
6.7500000 0.1530596 1.0000000
6.7750000 0.1533894 1.0000000
6.8000000 0.1541703 1.0000000
6.8250000 0.1545278 1.0000000
6.8500000 0.1552811 1.0000000
6.8750000 0.1556661 1.0000000
6.9000000 0.1563919 1.0000000
6.9250000 0.1568043 1.0000000
6.9500000 0.1575029 1.0000000
6.9750000 0.1579424 1.0000000
7.0000000 0.1586139 1.0000000
7.0250000 0.1590803 1.0000000
7.0500000 0.1597251 1.0000000
7.0750000 0.1602181 1.0000000
7.1000000 0.1608365 1.0000000
7.1250000 0.1613557 1.0000000
7.1500000 0.1619480 1.0000000
7.1750000 0.1624931 1.0000000
7.2000000 0.1630596 1.0000000
7.2250000 0.1636303 1.0000000
7.2500000 0.1641714 1.0000000
7.2750000 0.1647674 1.0000000
7.3000000 0.1652834 1.0000000
7.3250000 0.1659042 1.0000000
7.3500000 0.1663955 1.0000000
7.3750000 0.1670408 1.0000000
7.4000000 0.1675079 1.0000000
7.4250000 0.1681772 1.0000000
7.4500000 0.1686204 1.0000000
7.4750000 0.1693134 1.0000000
7.5000000 0.1697332 1.0000000
7.5250000 0.1704493 1.0000000
7.5500000 0.1708462 1.0000000
7.5750000 0.1715849 1.0000000
7.6000000 0.1719594 1.0000000
7.6250000 0.1727203 1.0000000
7.6500000 0.1730728 1.0000000
7.6750000 0.1738554 1.0000000
7.7000000 0.1741864 1.0000000
7.7250000 0.1749902 1.0000000
