#data for Fig. 3(a)
#rms dynamics for effective model. See SM for more details.

#Parameters: J_perp = 100t, J_parallel = 0.

#tau: evolution time

#Delta_rms: root-mean-square of Delta = (x1 - x2)/2
#Delta_std: standard error on Delta_rms estimated from sampling 

#X_rms: root-mean-square of X = (x1 + x2)/2
#norm: norm of wave function (should be 1 always)

tau 	  X_rms	 	 norm

0.0000000 0.0000000 1.0000000
0.0250000 0.0245953 1.0000000
0.0500000 0.0468145 1.0000000
0.0750000 0.0645334 1.0000000
0.1000000 0.0760967 1.0000000
0.1250000 0.0804812 1.0000000
0.1500000 0.0774099 1.0000000
0.1750000 0.0674586 1.0000000
0.2000000 0.0522934 1.0000000
0.2250000 0.0357363 1.0000000
0.2500000 0.0279983 1.0000000
0.2750000 0.0387305 1.0000000
0.3000000 0.0566964 1.0000000
0.3250000 0.0730931 1.0000000
0.3500000 0.0845687 1.0000000
0.3750000 0.0896625 1.0000000
0.4000000 0.0880707 1.0000000
0.4250000 0.0806264 1.0000000
0.4500000 0.0695921 1.0000000
0.4750000 0.0592959 1.0000000
0.5000000 0.0559916 1.0000000
0.5250000 0.0629433 1.0000000
0.5500000 0.0761748 1.0000000
0.5750000 0.0899113 1.0000000
0.6000000 0.1003734 1.0000000
0.6250000 0.1056529 1.0000000
0.6500000 0.1052706 1.0000000
0.6750000 0.1000649 1.0000000
0.7000000 0.0922792 1.0000000
0.7250000 0.0855576 1.0000000
0.7500000 0.0839751 1.0000000
0.7750000 0.0893792 1.0000000
0.8000000 0.0997705 1.0000000
0.8250000 0.1112969 1.0000000
0.8500000 0.1206549 1.0000000
0.8750000 0.1258752 1.0000000
0.9000000 0.1263578 1.0000000
0.9250000 0.1228222 1.0000000
0.9500000 0.1172567 1.0000000
0.9750000 0.1126351 1.0000000
1.0000000 0.1119439 1.0000000
1.0250000 0.1165230 1.0000000
1.0500000 0.1251652 1.0000000
1.0750000 0.1350871 1.0000000
1.1000000 0.1435168 1.0000000
1.1250000 0.1486009 1.0000000
1.1500000 0.1496870 1.0000000
1.1750000 0.1473564 1.0000000
1.2000000 0.1433193 1.0000000
1.2250000 0.1400425 1.0000000
1.2500000 0.1398930 1.0000000
1.2750000 0.1439614 1.0000000
1.3000000 0.1514435 1.0000000
1.3250000 0.1602017 1.0000000
1.3500000 0.1678961 1.0000000
1.3750000 0.1728327 1.0000000
1.4000000 0.1743477 1.0000000
1.4250000 0.1728994 1.0000000
1.4500000 0.1699544 1.0000000
1.4750000 0.1676035 1.0000000
1.5000000 0.1678175 1.0000000
1.5250000 0.1715386 1.0000000
1.5500000 0.1782010 1.0000000
1.5750000 0.1860915 1.0000000
1.6000000 0.1932057 1.0000000
1.6250000 0.1980049 1.0000000
1.6500000 0.1998336 1.0000000
1.6750000 0.1990488 1.0000000
1.7000000 0.1969151 1.0000000
1.7250000 0.1952378 1.0000000
1.7500000 0.1957128 1.0000000
1.7750000 0.1991817 1.0000000
1.8000000 0.2052355 1.0000000
1.8250000 0.2124589 1.0000000
1.8500000 0.2191091 1.0000000
1.8750000 0.2237860 1.0000000
1.9000000 0.2258509 1.0000000
1.9250000 0.2255788 1.0000000
1.9500000 0.2240683 1.0000000
1.9750000 0.2229026 1.0000000
2.0000000 0.2235739 1.0000000
2.0250000 0.2268512 1.0000000
2.0500000 0.2324350 1.0000000
2.0750000 0.2391308 1.0000000
2.1000000 0.2454034 1.0000000
2.1250000 0.2499726 1.0000000
2.1500000 0.2522201 1.0000000
2.1750000 0.2523539 1.0000000
2.2000000 0.2513359 1.0000000
2.2250000 0.2505715 1.0000000
2.2500000 0.2513961 1.0000000
2.2750000 0.2545223 1.0000000
2.3000000 0.2597319 1.0000000
2.3250000 0.2660001 1.0000000
2.3500000 0.2719599 1.0000000
2.3750000 0.2764342 1.0000000
2.4000000 0.2788257 1.0000000
2.4250000 0.2792877 1.0000000
2.4500000 0.2786682 1.0000000
2.4750000 0.2782272 1.0000000
2.5000000 0.2791747 1.0000000
2.5250000 0.2821785 1.0000000
2.5500000 0.2870825 1.0000000
2.5750000 0.2929969 1.0000000
2.6000000 0.2986930 1.0000000
2.6250000 0.3030831 1.0000000
2.6500000 0.3055902 1.0000000
2.6750000 0.3063224 1.0000000
2.7000000 0.3060315 1.0000000
2.7250000 0.3058567 1.0000000
2.7500000 0.3069051 1.0000000
2.7750000 0.3098073 1.0000000
2.8000000 0.3144566 1.0000000
2.8250000 0.3200727 1.0000000
2.8500000 0.3255434 1.0000000
2.8750000 0.3298580 1.0000000
2.9000000 0.3324591 1.0000000
2.9250000 0.3334173 1.0000000
2.9500000 0.3334018 1.0000000
2.9750000 0.3334499 1.0000000
3.0000000 0.3345826 1.0000000
3.0250000 0.3373989 1.0000000
3.0500000 0.3418321 1.0000000
3.0750000 0.3471930 1.0000000
3.1000000 0.3524681 1.0000000
3.1250000 0.3567145 1.0000000
3.1500000 0.3593930 1.0000000
3.1750000 0.3605423 1.0000000
3.2000000 0.3607611 1.0000000
3.2250000 0.3609987 1.0000000
3.2500000 0.3622028 1.0000000
3.2750000 0.3649453 1.0000000
3.3000000 0.3691924 1.0000000
3.3250000 0.3743319 1.0000000
3.3500000 0.3794352 1.0000000
3.3750000 0.3836193 1.0000000
3.4000000 0.3863620 1.0000000
3.4250000 0.3876748 1.0000000
3.4500000 0.3880950 1.0000000
3.4750000 0.3884957 1.0000000
3.5000000 0.3897611 1.0000000
3.5250000 0.3924394 1.0000000
3.5500000 0.3965243 1.0000000
3.5750000 0.4014694 1.0000000
3.6000000 0.4064201 1.0000000
3.6250000 0.4105467 1.0000000
3.6500000 0.4133430 1.0000000
3.6750000 0.4147970 1.0000000
3.7000000 0.4153921 1.0000000
3.7250000 0.4159346 1.0000000
3.7500000 0.4172532 1.0000000
3.7750000 0.4198749 1.0000000
3.8000000 0.4238167 1.0000000
3.8250000 0.4285893 1.0000000
3.8500000 0.4334032 1.0000000
3.8750000 0.4374764 1.0000000
3.9000000 0.4403175 1.0000000
3.9250000 0.4418943 1.0000000
3.9500000 0.4426426 1.0000000
3.9750000 0.4433097 1.0000000
4.0000000 0.4446748 1.0000000
4.0250000 0.4472460 1.0000000
4.0500000 0.4510605 1.0000000
4.0750000 0.4556786 1.0000000
4.1000000 0.4603688 1.0000000
4.1250000 0.4643918 1.0000000
4.1500000 0.4672703 1.0000000
4.1750000 0.4689547 1.0000000
4.2000000 0.4698383 1.0000000
4.2250000 0.4706155 1.0000000
4.2500000 0.4720216 1.0000000
4.2750000 0.4745475 1.0000000
4.3000000 0.4782476 1.0000000
4.3250000 0.4827263 1.0000000
4.3500000 0.4873035 1.0000000
4.3750000 0.4912792 1.0000000
4.4000000 0.4941890 1.0000000
4.4250000 0.4959681 1.0000000
4.4500000 0.4969718 1.0000000
4.4750000 0.4978470 1.0000000
4.5000000 0.4992895 1.0000000
4.5250000 0.5017744 1.0000000
4.5500000 0.5053710 1.0000000
4.5750000 0.5097228 1.0000000
4.6000000 0.5141963 1.0000000
4.6250000 0.5181268 1.0000000
4.6500000 0.5210627 1.0000000
4.6750000 0.5229255 1.0000000
4.7000000 0.5240364 1.0000000
4.7250000 0.5249994 1.0000000
4.7500000 0.5264744 1.0000000
4.7750000 0.5289219 1.0000000
4.8000000 0.5324242 1.0000000
4.8250000 0.5366598 1.0000000
4.8500000 0.5410373 1.0000000
4.8750000 0.5449247 1.0000000
4.9000000 0.5478821 1.0000000
4.9250000 0.5498191 1.0000000
4.9500000 0.5510262 1.0000000
4.9750000 0.5520683 1.0000000
5.0000000 0.5535725 1.0000000


5.0250000 0.5559856 1.0000000
5.0500000 0.5594013 1.0000000
5.0750000 0.5635299 1.0000000
5.1000000 0.5678181 1.0000000
5.1250000 0.5716639 1.0000000
5.1500000 0.5746389 1.0000000
5.1750000 0.5766420 1.0000000
5.2000000 0.5779357 1.0000000
5.2250000 0.5790493 1.0000000
5.2500000 0.5805797 1.0000000
5.2750000 0.5829610 1.0000000
5.3000000 0.5862971 1.0000000
5.3250000 0.5903265 1.0000000
5.3500000 0.5945312 1.0000000
5.3750000 0.5983368 1.0000000
5.4000000 0.6013257 1.0000000
5.4250000 0.6033877 1.0000000
5.4500000 0.6047597 1.0000000
5.4750000 0.6059382 1.0000000
5.5000000 0.6074923 1.0000000
5.5250000 0.6098442 1.0000000
5.5500000 0.6131064 1.0000000
5.5750000 0.6170435 1.0000000
5.6000000 0.6211696 1.0000000
5.6250000 0.6249361 1.0000000
5.6500000 0.6279359 1.0000000
5.6750000 0.6300506 1.0000000
5.7000000 0.6314935 1.0000000
5.7250000 0.6327311 1.0000000
5.7500000 0.6343067 1.0000000
5.7750000 0.6366311 1.0000000
5.8000000 0.6398245 1.0000000
5.8250000 0.6436753 1.0000000
5.8500000 0.6477271 1.0000000
5.8750000 0.6514557 1.0000000
5.9000000 0.6544635 1.0000000
5.9250000 0.6566251 1.0000000
5.9500000 0.6581325 1.0000000
5.9750000 0.6594241 1.0000000
6.0000000 0.6610192 1.0000000
6.0250000 0.6633178 1.0000000
6.0500000 0.6664471 1.0000000
6.0750000 0.6702168 1.0000000
6.1000000 0.6741982 1.0000000
6.1250000 0.6778895 1.0000000
6.1500000 0.6809029 1.0000000
6.1750000 0.6831064 1.0000000
6.2000000 0.6846725 1.0000000
6.2250000 0.6860136 1.0000000
6.2500000 0.6876264 1.0000000
6.2750000 0.6899008 1.0000000
6.3000000 0.6929698 1.0000000
6.3250000 0.6966632 1.0000000
6.3500000 0.7005775 1.0000000
6.3750000 0.7042322 1.0000000
6.4000000 0.7072489 1.0000000
6.4250000 0.7094899 1.0000000
6.4500000 0.7111094 1.0000000
6.4750000 0.7124958 1.0000000
6.5000000 0.7141249 1.0000000
6.5250000 0.7163764 1.0000000
6.5500000 0.7193888 1.0000000
6.5750000 0.7230098 1.0000000
6.6000000 0.7268601 1.0000000
6.6250000 0.7304789 1.0000000
6.6500000 0.7334967 1.0000000
6.6750000 0.7357711 1.0000000
6.7000000 0.7374393 1.0000000
6.7250000 0.7388675 1.0000000
6.7500000 0.7405114 1.0000000
6.7750000 0.7427412 1.0000000
6.8000000 0.7457001 1.0000000
6.8250000 0.7492526 1.0000000
6.8500000 0.7530415 1.0000000
6.8750000 0.7566248 1.0000000
6.9000000 0.7596419 1.0000000
6.9250000 0.7619459 1.0000000
6.9500000 0.7636587 1.0000000
6.9750000 0.7651253 1.0000000
7.0000000 0.7667827 1.0000000
7.0250000 0.7689920 1.0000000
7.0500000 0.7719002 1.0000000
7.0750000 0.7753875 1.0000000
7.1000000 0.7791173 1.0000000
7.1250000 0.7826657 1.0000000
7.1500000 0.7856802 1.0000000
7.1750000 0.7880106 1.0000000
7.2000000 0.7897641 1.0000000
7.2250000 0.7912660 1.0000000
7.2500000 0.7929357 1.0000000
7.2750000 0.7951254 1.0000000
7.3000000 0.7979856 1.0000000
7.3250000 0.8014107 1.0000000
7.3500000 0.8050836 1.0000000
7.3750000 0.8085974 1.0000000
7.4000000 0.8116078 1.0000000
7.4250000 0.8139613 1.0000000
7.4500000 0.8157520 1.0000000
7.4750000 0.8172866 1.0000000
7.5000000 0.8189676 1.0000000
7.5250000 0.8211385 1.0000000
7.5500000 0.8239530 1.0000000
7.5750000 0.8273187 1.0000000
7.6000000 0.8309366 1.0000000
7.6250000 0.8344160 1.0000000
7.6500000 0.8374208 1.0000000
7.6750000 0.8397947 1.0000000
7.7000000 0.8416193 1.0000000
